收书日期,印次出版日期,库区,书名,印次,单价,实收数量,码洋
1/2/2018,12/21/2017,WX,送审内蒙古 课堂精练 数学 八年级下册 北师大版 双色,1-6,13.81,13140,181463.4
1/2/2018,12/21/2017,WX,送审内蒙古 课堂精练 数学 七年级下册 北师大版 双色,1-6,13.81,19200,265152
1/2/2018,12/22/2017,WX,送审内蒙古 课堂精练 数学 四年级下册 北师大版 双色,1-5,11.67,2935,34251.45
1/2/2018,12/22/2017,WX,送审内蒙古 课堂精练 数学 六年级下册 北师大版 双色,1-5,11.67,7455,86999.85
1/2/2018,12/21/2017,WX,送审内蒙古 课堂精练 数学 五年级下册 北师大版 双色,1-5,11.67,8275,96569.25
1/6/2018,5/22/2015,WX,新课标单元测试卷 物理 九年级全一册 北师大版,3-1,23,0,0
1/8/2018,8/9/2017,WX,送审 广东 初中同步测控优化设计 道德与法治 八年级上册 北师大版,1-1,12.91,0,0
1/8/2018,8/8/2017,WX,送审 广东 初中同步测控优化设计 中国历史 八年级上册 北师大版,1-1,12.91,0,0
1/8/2018,8/10/2017,WX,送审广东 初中同步测控优化设计 思想品德 九年级全一册 北师大版,3-5,12.91,0,0
1/8/2018,8/7/2017,WX,送审广东 初中同步测控优化设计 历史 九年级上册 北师大版,2-5,11.41,0,0
1/8/2018,10/12/2017,WX,送审广东 初中同步测控优化设计 历史 九年级下册 北师大版,2-5,11.41,0,0
1/8/2018,12/22/2017,WX,送审内蒙古 课堂精练 数学 四年级下册 北师大版 双色,1-5,11.67,5120,59750.4
1/8/2018,12/28/2017,WX,国标教材 寒假生活 数学 三年级 北师大版,5-4,5,6070,30350
1/8/2018,12/28/2017,WX,国标教材 寒假生活 数学 二年级 北师大版,6-5,5,6000,30000
1/8/2018,12/28/2017,WX,国标教材 寒假生活 数学 四年级 北师大版,6-4,5,6080,30400
1/8/2018,12/29/2017,WX,国标教材 寒假生活 语文 五年级 北师大版,3-11,3,5560,16680
1/8/2018,12/28/2017,WX,国标教材 寒假生活 数学 六年级 北师大版,4-4,5,4540,22700
1/8/2018,12/29/2017,WX,国标教材 寒假生活 语文 四年级 北师大版,3-11,3,5550,16650
1/8/2018,12/29/2017,WX,国标教材 寒假生活 语文 三年级 北师大版,2-12,2.7,6060,16362
1/8/2018,12/29/2017,WX,国标教材 寒假生活 语文 六年级 北师大版,2-12,2.7,4530,12231
1/8/2018,12/29/2017,WX,国标教材 寒假生活 语文 二年级 北师大版,3-11,3,5550,16650
1/8/2018,12/28/2017,WX,国标教材 寒假生活 数学 五年级 北师大版,4-4,5,6070,30350
1/8/2018,12/29/2017,WX,国标教材 寒假生活 数学 一年级 北师大版,6-6,6,5530,33180
1/8/2018,12/29/2017,WX,寒假生活 数学 六年级 新课标版,2-4,6,11290,67740
1/8/2018,12/29/2017,WX,寒假生活 数学 三年级 新课标版,2-4,6,11590,69540
1/8/2018,12/29/2017,WX,寒假生活 数学 一年级 新课标版,1-7,6,12030,72180
