通知日期,书名,印次,定价,印单印数,总码洋
3/23/2018,山东 语文读本 六年级上册,1-2A,16,17950,287200
3/23/2018,山东 语文读本 七年级上册,1-2A,16,19418,310688
3/23/2018,山东 语文读本 八年级上册,1-2A,16,14679,234864
3/23/2018,山东 语文读本 九年级上册,1-2A,16,17595,281520
3/23/2018,山东 语文读本 六年级下册,1-3A,16,17555,280880
3/23/2018,山东 语文读本 七年级下册,1-3A,16,19199,307184
3/23/2018,山东 语文读本 八年级下册,1-3A,16,14773,236368
3/23/2018,山东 语文读本 九年级下册,1-3A,16,14035,224560
4/12/2018,山东 语文读本 六年级下册,1-3B,16,300,4800
4/12/2018,山东 语文读本 七年级下册,1-3B,16,399,6384
4/12/2018,山东 语文读本 八年级下册,1-3B,16,150,2400
4/12/2018,山东 语文读本 九年级下册,1-3B,16,436,6976
1/31/2018,新高考 京师新考卷 语文 全国卷地区专用,1-1,57.9,5000,289500
1/2/2018,新高考 二轮专题突破+考前集训  生物  全国卷地区专用,1-1,56.9,12000,682800
1/18/2018,新高考 二轮专题突破+考前集训  生物  全国卷地区专用,1-1,56.9,10000,569000
1/26/2018,海淀名师伴你学 同步学练测 高中英语 选修7 北师大版（第2版）,2-2,14.5,400,5800
1/26/2018,海淀名师伴你学 同步学练测 高中数学 必修3（第2版）,2-2,11.9,700,8330
1/26/2018,海淀名师伴你学 同步学练测 高中数学 必修5（第2版）,2-2,10.2,700,7140
1/26/2018,海淀名师伴你学 同步学练测 高中英语 必修3 北师大版（第2版）,2-2,14.5,1000,14500
1/26/2018,海淀名师伴你学 同步学练测 高中英语 必修4 北师大版（第2版）,2-2,14.5,700,10150
1/26/2018,海淀名师伴你学 同步学练测 高中英语 选修8 北师大版（第2版）,2-2,13.6,400,5440
1/26/2018,海淀名师伴你学 中考复习与指导 英语（第2版）,2-2,14.5,550,7975
1/2/2018,海淀名师伴你学 同步学练测 高中数学 选修2-3（第2版）,2-2,11.1,8000,88800
1/2/2018,海淀名师伴你学 同步学练测 高中地理 选修5 自然灾害与防治（第2版）,2-2,12.8,3000,38400
1/2/2018,海淀名师伴你学 中考复习与指导 化学（第2版）,2-2,12.8,12000,153600
1/2/2018,海淀名师伴你学 同步学练测 高中生物 必修3（第2版）,2-2,14.5,10500,152250
1/26/2018,海淀名师伴你学 同步学练测 高中生物 必修3（第2版）,2-2,14.5,600,8700
1/2/2018,海淀名师伴你学 同步学练测 生物 七年级下册（第2版）,2-2,9.4,21800,204920
1/2/2018,海淀名师伴你学 同步学练测 高中化学 必修2（第2版）,2-2,11.1,11500,127650
1/2/2018,海淀名师伴你学 同步学练测 英语 五年级下册（第2版）,2-2,6.8,17000,115600
1/2/2018,国标教材 英语 学习卡片 一年级下册 一年级起,1-14,7,20500,143500
1/2/2018,国标教材 英语 学习卡片 二年级下册 一年级起,2-5,11,19000,209000
1/2/2018,国标教材 英语 学习卡片 六年级下册 一年级起,2-1,10,2000,20000
1/3/2018,国标教材 语文 伴你成长 六年级下册 北师大版,3-6,16.5,2000,33000
1/3/2018,国标教材 语文 伴你成长 五年级下册 北师大版,3-6,14.3,2000,28600
1/3/2018,国标教材 英语 教学挂图 六年级下册 一年级起,2-1,120,300,36000
1/3/2018,国标教材 英语 教学卡片 六年级下册 一年级起,2-1,30,1000,30000
1/3/2018,海淀名师伴你学 同步学练测 英语 一年级下册,1-1,5.1,11500,58650
1/3/2018,海淀名师伴你学 同步学练测 地理 七年级下册（第2版）,2-2,9.4,16000,150400
1/3/2018,海淀名师伴你学 同步学练测 高中物理 选修3-3 选修3-4（第2版）,2-2,17,8000,136000
1/26/2018,海淀名师伴你学 同步学练测 高中物理 选修3-3 选修3-4（第2版）,2-2,17,200,3400
1/3/2018,海淀名师伴你学 同步学练测 高中物理 必修2（第2版）,2-2,13.6,8000,108800
1/3/2018,海淀名师伴你学 同步学练测 物理 八年级下册 北师大版 （第2版）,2-2,8.5,9000,76500
1/3/2018,海淀名师伴你学 同步学练测 高中化学 选修4 化学反应原理（第2版）,2-2,13.6,9000,122400
1/3/2018,海淀名师伴你学 同步学练测 英语 三年级下册（第2版）,2-2,4.3,16000,68800
1/3/2018,国标教材 英语 五年级下册 一年级起 光盘,1-1,7,54500,381500
1/3/2018,国标教材 英语 六年级下册 一年级起 光盘,1-1,14,47000,658000
1/8/2018,国标教材 英语 六年级下册 一年级起 光盘,1-1,14,2000,28000
1/3/2018,小学英语活动课程 一年级下册 光盘,1-1,10,23000,230000
1/3/2018,国标教材 英语 二年级下册 一年级起 光盘,1-1,12,21000,252000
1/3/2018,小学英语活动课程 一年级下册 录音带,1-1,7,2000,14000
1/19/2018,小学英语活动课程 一年级下册 录音带,1-1,7,3000,21000
1/4/2018,国标教材 寒假生活 语文 一年级  北师大版 （第4版）,4-2,3,5500,16500
1/4/2018,海淀名师伴你学 同步学练测 高中思想政治 必修2（第2版）,2-2,12.8,14500,185600
1/4/2018,海淀名师伴你学 同步学练测 数学 九年级下册（第2版）,2-2,11.1,4500,49950
1/4/2018,海淀名师伴你学 同步学练测 英语 二年级下册,1-1,5.1,11000,56100
1/4/2018,海淀名师伴你学 同步学练测 地理 八年级下册（第2版）,2-2,9.4,12500,117500
1/4/2018,海淀名师伴你学 同步学练测 高中地理 必修2（第2版）,2-2,13.6,9000,122400
1/4/2018,海淀名师伴你学 同步学练测 高中思想政治 必修3（第2版）,2-2,11.1,11500,127650
1/5/2018,河南 新课标单元测试卷 语文 三年级下册 北师大版（第3版）,3-3,9,4000,36000
1/5/2018,河南 新课标单元测试卷 语文 四年级下册 北师大版（第3版）,3-3,9,4000,36000
1/5/2018,河南 新课标单元测试卷 语文 五年级下册 北师大版（第3版）,3-3,9,3600,32400
1/5/2018,河南 新课标单元测试卷 语文 六年级下册 北师大版（第3版）,3-3,9,2200,19800
1/5/2018,河南 新课标单元测试卷 数学 一年级下册 新课标版（第3版）,3-3,9,3200,28800
1/5/2018,河南 新课标单元测试卷 数学 二年级下册 新课标版（第3版）,3-3,9,3600,32400
1/5/2018,河南 新课标单元测试卷 数学 三年级下册 新课标版（第3版）,3-3,9,4000,36000
1/5/2018,河南 新课标单元测试卷 数学 四年级下册 新课标版（第3版）,3-3,9,3800,34200
1/5/2018,河南 新课标单元测试卷 数学 五年级下册 新课标版（第3版）,3-3,9,3600,32400
1/5/2018,河南 新课标单元测试卷 数学 六年级下册 新课标版（第3版）,3-3,9,2800,25200
1/5/2018,海淀名师伴你学 同步学练测 高中历史 选修4 中外历史人物评说（第2版）,2-2,6.8,3000,20400
1/5/2018,海淀名师伴你学 同步学练测 高中历史 必修2（第2版）,2-2,16.2,13000,210600
1/5/2018,海淀名师伴你学 同步学练测 高中语文 选修 中国文化经典研读（第2版）,2-2,12.8,11500,147200
1/25/2018,海淀名师伴你学 同步学练测 高中语文 选修 中国文化经典研读（第2版）,2-2,12.8,2000,25600
1/8/2018,海淀名师伴你学 同步学练测 数学 三年级下册 北师大版（第2版）,2-2,14.5,15000,217500
1/8/2018,海淀名师伴你学 同步学练测 数学 二年级下册 北师大版（第2版）,2-2,7.7,13000,100100
1/8/2018,国标教材 英语 伴你成长 二年级下册 一年级起,3-6,6,5500,33000
1/9/2018,海淀名师伴你学 同步学练测 语文 六年级下册 北师大版（第2版）,2-2,9.4,15500,145700
1/9/2018,甘肃 配套练习与检测 数学 二年级上册 北师大版 非免费,1-5,3.6,76665,275994
1/9/2018,甘肃 配套练习与检测 数学 三年级上册 北师大版 非免费,1-4,3.6,72305,260298
1/9/2018,国标教材 数学 伴你成长 一年级下册 北师大版,6-4,11.5,5000,57500
1/9/2018,国标教材 数学 伴你成长 二年级下册 北师大版,7-4,11.5,4000,46000
1/9/2018,国标教材 数学 伴你成长 三年级下册 北师大版,4-4,16.5,2000,33000
1/9/2018,国标教材 数学 伴你成长 四年级下册 北师大版,5-4,16.5,2000,33000
1/9/2018,国标教材 数学 伴你成长 五年级下册 北师大版,4-4,15,2000,30000
1/9/2018,国标教材 英语 教学卡片 二年级下册 一年级起,2-5,120,2000,240000
1/9/2018,海淀名师伴你学 同步学练测 高中语文 必修3（第2版）,2-2,15.3,14500,221850
1/25/2018,海淀名师伴你学 同步学练测 高中语文 必修3（第2版）,2-2,15.3,3000,45900
1/9/2018,国标教材 物理 伴你学 八年级下册 北师大版,5-6,19.8,5000,99000
1/9/2018,海淀名师伴你学 中考复习与指导 语文（第2版）,2-2,17,11000,187000
1/9/2018,海淀名师伴你学 同步学练测 语文 五年级下册 北师大版（第2版）,2-2,9.4,18500,173900
1/9/2018,海淀名师伴你学 同步学练测 高中语文 必修5（第2版）,2-2,12.8,10500,134400
1/25/2018,海淀名师伴你学 同步学练测 高中语文 必修5（第2版）,2-2,12.8,2000,25600
1/9/2018,海淀名师伴你学 同步学练测 道德与法治 七年级下册,1-2,8.5,21500,182750
1/10/2018,海淀名师伴你学 同步学练测 高中地理 选修3 旅游地理（第2版）,2-2,11.1,3000,33300
1/10/2018,国标教材 英语 教学卡片 一年级下册 一年级起,2-1,50,2000,100000
